date,total_news,rumor_news,non_rumor_news
2020-01-01,273,0,273
2020-01-02,344,50,294
2020-01-03,298,14,284
2020-01-04,304,0,304
2020-01-05,310,0,310
2020-01-06,457,83,374
2020-01-07,385,0,385
2020-01-08,387,0,387
2020-01-09,434,63,371
2020-01-10,329,0,329
2020-01-11,397,0,397
2020-01-12,347,0,347
2020-01-13,436,75,361
2020-01-14,412,0,412
2020-01-15,359,0,359
2020-01-16,362,0,362
2020-01-17,401,110,291
2020-01-18,470,109,361
2020-01-19,346,50,296
2020-01-20,388,19,369
2020-01-21,350,37,313
2020-01-22,298,75,223
2020-01-23,290,0,290
2020-01-24,346,59,287
2020-01-25,307,0,307
2020-01-26,306,0,306
2020-01-27,304,45,259
2020-01-28,305,0,305
2020-01-29,132,0,132
2020-01-30,224,0,224
2020-01-31,204,0,204
2020-02-01,194,0,194
2020-02-02,280,0,280
2020-02-03,273,0,273
2020-02-04,255,46,209
2020-02-05,288,0,288
2020-02-06,247,0,247
2020-02-07,263,34,229
2020-02-08,223,0,223
2020-02-09,238,14,224
2020-02-10,280,0,280
2020-02-11,294,0,294
2020-02-12,285,0,285
2020-02-13,230,29,201
2020-02-14,321,17,304
2020-02-15,323,0,323
2020-02-16,402,120,282
2020-02-17,339,21,318
2020-02-18,299,49,250
2020-02-19,395,112,283
2020-02-20,326,0,326
2020-02-21,332,0,332
2020-02-22,452,88,364
2020-02-23,306,0,306
2020-02-24,345,2,343
2020-02-25,393,54,339
2020-02-26,427,46,381
2020-02-27,506,89,417
2020-02-28,503,76,427
2020-02-29,348,55,293
2020-03-01,350,0,350
2020-03-02,345,42,303
2020-03-03,357,18,339
2020-03-04,352,0,352
2020-03-05,405,74,331
2020-03-06,363,44,319
2020-03-07,379,7,372
2020-03-08,333,0,333
2020-03-09,285,0,285
2020-03-10,304,16,288
2020-03-11,345,31,314
2020-03-12,296,0,296
2020-03-13,315,67,248
2020-03-14,187,0,187
2020-03-15,205,0,205
2020-03-16,319,65,254
2020-03-17,173,0,173
2020-03-18,247,11,236
2020-03-19,222,0,222
2020-03-20,280,0,280
2020-03-21,275,87,188
2020-03-22,166,0,166
2020-03-23,342,113,229
2020-03-24,349,73,276
2020-03-25,319,21,298
2020-03-26,225,0,225
2020-03-27,296,9,287
2020-03-28,231,0,231
2020-03-29,414,160,254
2020-03-30,383,69,314
2020-03-31,454,125,329
2020-04-01,279,11,268
2020-04-02,426,90,336
2020-04-03,398,148,250
2020-04-04,405,81,324
2020-04-05,451,158,293
2020-04-06,374,62,312
2020-04-07,358,59,299
2020-04-08,533,157,376
2020-04-09,510,131,379
2020-04-10,526,195,331
2020-04-11,452,77,375
2020-04-12,596,226,370
2020-04-13,688,335,353
2020-04-14,662,220,442
2020-04-15,557,239,318
2020-04-16,612,264,348
2020-04-17,506,180,326
2020-04-18,634,314,320
2020-04-19,567,232,335
2020-04-20,621,312,309
2020-04-21,696,418,278
2020-04-22,650,341,309
2020-04-23,769,426,343
2020-04-24,801,476,325
2020-04-25,752,464,288
2020-04-26,649,407,242
2020-04-27,758,486,272
2020-04-28,929,627,302
2020-04-29,755,455,300
2020-04-30,832,570,262
2020-05-01,815,585,230
2020-05-02,881,647,234
2020-05-03,978,707,271
2020-05-04,1046,779,267
2020-05-05,885,714,171
2020-05-06,1067,798,269
2020-05-07,1086,811,275
2020-05-08,1053,838,215
2020-05-09,1040,815,225
2020-05-10,1053,822,231
2020-05-11,1085,844,241
2020-05-12,1107,888,219
2020-05-13,1264,968,296
2020-05-14,1276,1016,260
2020-05-15,1315,1018,297
2020-05-16,1286,998,288
2020-05-17,1466,1139,327
2020-05-18,1429,1145,284
2020-05-19,1414,1072,342
2020-05-20,1421,1067,354
2020-05-21,1509,1131,378
2020-05-22,1631,1203,428
2020-05-23,1441,1171,270
2020-05-24,1564,1194,370
2020-05-25,1497,1166,331
2020-05-26,1491,1208,283
2020-05-27,1662,1269,393
2020-05-28,1596,1184,412
2020-05-29,1546,1206,340
2020-05-30,1573,1213,360
2020-05-31,1558,1213,345
2020-06-01,1485,1126,359
2020-06-02,1468,1098,370
2020-06-03,1476,1134,342
2020-06-04,1519,1185,334
2020-06-05,1557,1194,363
2020-06-06,1425,1127,298
2020-06-07,1542,1209,333
2020-06-08,1373,1118,255
2020-06-09,1453,1109,344
2020-06-10,1381,1080,301
2020-06-11,1325,1076,249
2020-06-12,1257,1083,174
2020-06-13,1312,1059,253
2020-06-14,1158,957,201
2020-06-15,1310,1054,256
2020-06-16,1198,898,300
2020-06-17,1177,930,247
2020-06-18,1118,885,233
2020-06-19,1074,819,255
2020-06-20,1094,840,254
2020-06-21,930,778,152
2020-06-22,1050,790,260
2020-06-23,1057,777,280
2020-06-24,1052,801,251
2020-06-25,1021,714,307
2020-06-26,909,639,270
2020-06-27,935,621,314
2020-06-28,1002,619,383
2020-06-29,885,589,296
2020-06-30,860,629,231
2020-07-01,902,599,303
2020-07-02,739,484,255
2020-07-03,805,449,356
2020-07-04,714,323,391
2020-07-05,770,398,372
2020-07-06,715,352,363
2020-07-07,688,360,328
2020-07-08,795,375,420
2020-07-09,732,343,389
2020-07-10,682,311,371
2020-07-11,671,303,368
2020-07-12,630,267,363
2020-07-13,639,265,374
2020-07-14,403,76,327
2020-07-15,615,207,408
2020-07-16,547,199,348
2020-07-17,532,173,359
2020-07-18,476,165,311
2020-07-19,534,198,336
2020-07-20,341,120,221
2020-07-21,507,248,259
2020-07-22,456,161,295
2020-07-23,351,116,235
2020-07-24,473,96,377
2020-07-25,298,93,205
2020-07-26,322,43,279
2020-07-27,402,77,325
2020-07-28,360,88,272
2020-07-29,332,96,236
2020-07-30,312,90,222
2020-07-31,311,42,269
2020-08-01,208,0,208
2020-08-02,247,12,235
2020-08-03,390,121,269
2020-08-04,313,82,231
2020-08-05,302,52,250
2020-08-06,238,0,238
2020-08-07,244,27,217
2020-08-08,309,0,309
2020-08-09,324,0,324
2020-08-10,270,7,263
2020-08-11,273,0,273
2020-08-12,348,63,285
2020-08-13,322,0,322
2020-08-14,272,0,272
2020-08-15,313,0,313
2020-08-16,335,0,335
2020-08-17,372,15,357
2020-08-18,227,0,227
2020-08-19,405,44,361
2020-08-20,364,0,364
2020-08-21,403,9,394
2020-08-22,357,21,336
2020-08-23,338,0,338
2020-08-24,463,55,408
2020-08-25,297,0,297
2020-08-26,456,33,423
2020-08-27,458,0,458
2020-08-28,388,17,371
2020-08-29,397,17,380
2020-08-30,297,15,282
2020-08-31,307,0,307
2020-09-01,394,24,370
2020-09-02,335,0,335
2020-09-03,339,34,305
2020-09-04,314,0,314
2020-09-05,316,0,316
2020-09-06,297,21,276
2020-09-07,375,97,278
2020-09-08,315,45,270
2020-09-09,223,0,223
2020-09-10,271,0,271
2020-09-11,367,42,325
2020-09-12,319,2,317
2020-09-13,221,36,185
2020-09-14,278,13,265
2020-09-15,276,9,267
2020-09-16,381,157,224
2020-09-17,211,9,202
2020-09-18,193,3,190
2020-09-19,234,6,228
2020-09-20,264,0,264
2020-09-21,313,64,249
2020-09-22,237,0,237
2020-09-23,268,50,218
2020-09-24,325,35,290
2020-09-25,410,84,326
2020-09-26,301,46,255
2020-09-27,318,0,318
2020-09-28,233,0,233
2020-09-29,394,104,290
2020-09-30,361,7,354
2020-10-01,287,0,287
2020-10-02,326,12,314
2020-10-03,514,113,401
2020-10-04,320,0,320
2020-10-05,336,16,320
2020-10-06,412,32,380
2020-10-07,446,9,437
2020-10-08,369,19,350
2020-10-09,399,9,390
2020-10-10,482,70,412
2020-10-11,452,83,369
2020-10-12,417,76,341
2020-10-13,349,37,312
2020-10-14,477,192,285
2020-10-15,454,74,380
2020-10-16,501,166,335
2020-10-17,485,111,374
2020-10-18,563,211,352
2020-10-19,519,239,280
2020-10-20,411,163,248
2020-10-21,430,126,304
2020-10-22,528,274,254
2020-10-23,638,351,287
2020-10-24,531,296,235
2020-10-25,527,303,224
2020-10-26,604,357,247
2020-10-27,662,377,285
2020-10-28,577,320,257
2020-10-29,642,353,289
2020-10-30,633,442,191
2020-10-31,629,431,198
2020-11-01,769,532,237
2020-11-02,790,460,330
2020-11-03,836,563,273
2020-11-04,782,574,208
2020-11-05,835,583,252
2020-11-06,952,682,270
2020-11-07,938,693,245
2020-11-08,945,645,300
2020-11-09,1042,765,277
2020-11-10,1120,840,280
2020-11-11,1155,805,350
2020-11-12,1080,840,240
2020-11-13,1140,862,278
2020-11-14,1230,938,292
2020-11-15,1315,1017,298
2020-11-16,1296,987,309
2020-11-17,1371,1007,364
2020-11-18,1496,1102,394
2020-11-19,1491,1100,391
2020-11-20,1559,1243,316
2020-11-21,1600,1245,355
2020-11-22,1606,1228,378
2020-11-23,1717,1348,369
2020-11-24,1816,1406,410
2020-11-25,1817,1488,329
2020-11-26,1867,1509,358
2020-11-27,1992,1660,332
2020-11-28,1943,1591,352
2020-11-29,1956,1664,292
2020-11-30,2003,1712,291
2020-12-01,2043,1752,291
2020-12-02,2112,1822,290
2020-12-03,2256,1890,366
2020-12-04,2321,1978,343
2020-12-05,2157,1878,279
2020-12-06,2262,1976,286
2020-12-07,2231,2023,208
2020-12-08,2393,2135,258
2020-12-09,2376,2111,265
2020-12-10,2373,2074,299
2020-12-11,2472,2211,261
2020-12-12,2502,2240,262
2020-12-13,2539,2285,254
2020-12-14,2507,2256,251
2020-12-15,2607,2423,184
2020-12-16,2573,2349,224
2020-12-17,2681,2381,300
2020-12-18,2647,2368,279
2020-12-19,2656,2386,270
2020-12-20,2647,2389,258
2020-12-21,2734,2446,288
2020-12-22,2660,2430,230
2020-12-23,2802,2590,212
2020-12-24,2668,2400,268
2020-12-25,2755,2442,313
2020-12-26,2784,2480,304
2020-12-27,2881,2532,349
2020-12-28,2805,2474,331
2020-12-29,2847,2521,326
2020-12-30,2814,2429,385
2020-12-31,2852,2468,384
2021-01-01,2879,2538,341
2021-01-02,2690,2384,306
2021-01-03,2752,2434,318
2021-01-04,2751,2400,351
2021-01-05,2596,2252,344
2021-01-06,2734,2308,426
2021-01-07,2656,2364,292
2021-01-08,2639,2283,356
2021-01-09,2494,2181,313
2021-01-10,2598,2241,357
2021-01-11,2508,2145,363
2021-01-12,2472,2147,325
2021-01-13,2463,2107,356
2021-01-14,2310,1990,320
2021-01-15,2354,2041,313
2021-01-16,2202,1906,296
2021-01-17,2175,1845,330
2021-01-18,2120,1819,301
2021-01-19,2148,1798,350
2021-01-20,2102,1772,330
2021-01-21,1973,1679,294
2021-01-22,1883,1705,178
2021-01-23,1829,1630,199
2021-01-24,1824,1532,292
2021-01-25,1790,1561,229
2021-01-26,1778,1524,254
2021-01-27,1627,1410,217
2021-01-28,1615,1354,261
2021-01-29,1505,1227,278
2021-01-30,1438,1245,193
2021-01-31,1412,1202,210
2021-02-01,1361,1181,180
2021-02-02,1372,1112,260
2021-02-03,1275,1086,189
2021-02-04,1351,1104,247
2021-02-05,1245,956,289
2021-02-06,1272,914,358
2021-02-07,1128,830,298
2021-02-08,1194,852,342
2021-02-09,1170,860,310
2021-02-10,1005,684,321
2021-02-11,1007,699,308
2021-02-12,1006,697,309
2021-02-13,1080,701,379
2021-02-14,997,643,354
2021-02-15,964,606,358
2021-02-16,870,545,325
2021-02-17,889,549,340
2021-02-18,985,545,440
2021-02-19,736,380,356
2021-02-20,887,474,413
2021-02-21,745,406,339
2021-02-22,749,359,390
2021-02-23,606,239,367
2021-02-24,605,269,336
2021-02-25,774,401,373
2021-02-26,541,261,280
2021-02-27,579,221,358
2021-02-28,594,234,360
2021-03-01,533,202,331
2021-03-02,594,229,365
2021-03-03,583,282,301
2021-03-04,452,162,290
2021-03-05,487,185,302
2021-03-06,421,107,314
2021-03-07,523,228,295
2021-03-08,406,150,256
2021-03-09,294,75,219
2021-03-10,444,165,279
2021-03-11,386,170,216
2021-03-12,321,109,212
2021-03-13,227,11,216
2021-03-14,417,174,243
2021-03-15,302,94,208
2021-03-16,325,130,195
2021-03-17,255,38,217
2021-03-18,279,40,239
2021-03-19,328,60,268
2021-03-20,363,105,258
2021-03-21,270,52,218
2021-03-22,277,0,277
2021-03-23,339,50,289
2021-03-24,380,115,265
2021-03-25,294,34,260
2021-03-26,302,34,268
2021-03-27,287,0,287
2021-03-28,405,0,405
2021-03-29,289,0,289
2021-03-30,344,2,342
2021-03-31,332,22,310
2021-04-01,347,23,324
2021-04-02,415,94,321
2021-04-03,401,15,386
2021-04-04,436,64,372
2021-04-05,362,8,354
2021-04-06,461,81,380
2021-04-07,389,0,389
2021-04-08,324,0,324
2021-04-09,433,55,378
2021-04-10,323,0,323
2021-04-11,432,51,381
2021-04-12,395,24,371
2021-04-13,402,51,351
2021-04-14,354,34,320
2021-04-15,336,37,299
2021-04-16,379,77,302
2021-04-17,387,52,335
2021-04-18,321,52,269
2021-04-19,293,3,290
2021-04-20,210,0,210
2021-04-21,282,0,282
2021-04-22,262,39,223
2021-04-23,206,0,206
2021-04-24,273,0,273
2021-04-25,256,0,256
2021-04-26,227,0,227
2021-04-27,230,0,230
2021-04-28,395,64,331
2021-04-29,263,31,232
2021-04-30,333,100,233
2021-05-01,323,54,269
2021-05-02,302,52,250
2021-05-03,403,113,290
2021-05-04,267,0,267
2021-05-05,292,0,292
2021-05-06,286,0,286
2021-05-07,301,0,301
2021-05-08,282,0,282
2021-05-09,301,0,301
2021-05-10,318,29,289
2021-05-11,359,26,333
2021-05-12,263,0,263
2021-05-13,369,16,353
