date,total_tweets,rumor_tweets,non_rumor_tweets
2020-01-01,1014,44,970
2020-01-02,1111,152,959
2020-01-03,996,224,772
2020-01-04,1113,207,906
2020-01-05,883,175,708
2020-01-06,1312,289,1023
2020-01-07,1027,51,976
2020-01-08,1134,196,938
2020-01-09,1252,199,1053
2020-01-10,1141,243,898
2020-01-11,1242,402,840
2020-01-12,1271,210,1061
2020-01-13,1041,421,620
2020-01-14,1313,193,1120
2020-01-15,1057,122,935
2020-01-16,1233,188,1045
2020-01-17,1356,448,908
2020-01-18,1171,408,763
2020-01-19,1016,393,623
2020-01-20,1027,282,745
2020-01-21,1352,260,1092
2020-01-22,1060,358,702
2020-01-23,1221,88,1133
2020-01-24,1305,208,1097
2020-01-25,1183,110,1073
2020-01-26,1042,219,823
2020-01-27,889,324,565
2020-01-28,915,89,826
2020-01-29,595,55,540
2020-01-30,1017,15,1002
2020-01-31,1093,76,1017
2020-02-01,921,141,780
2020-02-02,1012,27,985
2020-02-03,870,178,692
2020-02-04,734,173,561
2020-02-05,856,155,701
2020-02-06,1134,17,1117
2020-02-07,1157,161,996
2020-02-08,1012,0,1012
2020-02-09,1024,122,902
2020-02-10,841,152,689
2020-02-11,972,147,825
2020-02-12,1102,7,1095
2020-02-13,957,39,918
2020-02-14,1313,62,1251
2020-02-15,1181,150,1031
2020-02-16,1253,172,1081
2020-02-17,1174,616,558
2020-02-18,974,7,967
2020-02-19,1066,327,739
2020-02-20,1061,0,1061
2020-02-21,1138,139,999
2020-02-22,1283,421,862
2020-02-23,850,57,793
2020-02-24,861,246,615
2020-02-25,1048,193,855
2020-02-26,1386,123,1263
2020-02-27,1483,311,1172
2020-02-28,1724,351,1373
2020-02-29,1195,342,853
2020-03-01,1096,0,1096
2020-03-02,926,131,795
2020-03-03,1052,91,961
2020-03-04,1004,103,901
2020-03-05,1388,250,1138
2020-03-06,1128,247,881
2020-03-07,1196,132,1064
2020-03-08,1178,95,1083
2020-03-09,773,328,445
2020-03-10,828,317,511
2020-03-11,979,387,592
2020-03-12,1095,311,784
2020-03-13,1145,349,796
2020-03-14,968,206,762
2020-03-15,939,135,804
2020-03-16,1054,363,691
2020-03-17,725,130,595
2020-03-18,918,106,812
2020-03-19,830,142,688
2020-03-20,960,254,706
2020-03-21,1068,379,689
2020-03-22,646,227,419
2020-03-23,979,328,651
2020-03-24,1153,204,949
2020-03-25,1029,235,794
2020-03-26,984,167,817
2020-03-27,1233,258,975
2020-03-28,910,240,670
2020-03-29,1181,356,825
2020-03-30,936,227,709
2020-03-31,1326,251,1075
2020-04-01,886,66,820
2020-04-02,1420,180,1240
2020-04-03,1379,421,958
2020-04-04,1342,156,1186
2020-04-05,1319,440,879
2020-04-06,990,198,792
2020-04-07,877,155,722
2020-04-08,1519,345,1174
2020-04-09,1446,252,1194
2020-04-10,1446,387,1059
2020-04-11,1354,266,1088
2020-04-12,1496,508,988
2020-04-13,1777,697,1080
2020-04-14,1359,300,1059
2020-04-15,1443,377,1066
2020-04-16,1862,668,1194
2020-04-17,1402,499,903
2020-04-18,1766,592,1174
2020-04-19,1676,520,1156
2020-04-20,1580,501,1079
2020-04-21,1567,562,1005
2020-04-22,1536,844,692
2020-04-23,1532,1048,484
2020-04-24,1920,972,948
2020-04-25,1934,835,1099
2020-04-26,1557,1051,506
2020-04-27,1917,860,1057
2020-04-28,2063,1119,944
2020-04-29,1594,800,794
2020-04-30,2200,777,1423
2020-05-01,2027,931,1096
2020-05-02,2179,864,1315
2020-05-03,2228,1145,1083
